slug,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,female_ratio,header_count,male_ratio,num_female,num_male,readability,stars,total_num_commits,total_num_contributors,compound,has_url,contrib,coc,readMeLength
jdeal/qim,24,24,24,0.0,11,0.75,0,3,-10.86,159,214,4,0.9999,False,0,0,212
webhookrelay/node-red-contrib-webhookrelay,25,25,25,0.0,6,1.0,0,1,24.82,0,11,1,0.9675,False,0,0,18
Beth3346/elr-scss-reset,26,26,26,1.0,5,0.0,1,0,-80.13,0,7,1,0.0,False,0,0,5
jonathaneunice/iterm2-tab-set,27,27,27,1.0,0,0.0,1,0,49.18,28,29,1,0.9841,False,0,0,85
nebrius/raspi-tools,28,28,28,0.0,1,1.0,0,1,8.24,0,18,1,-0.0307,False,0,0,5
adrianbrowning/SeqProm,29,29,29,0.0,6,0.3333333333333333,0,1,-251.38,0,23,3,-0.7482,False,0,0,10
Kelvne/ab-react,30,30,30,0.0,2,1.0,0,1,-187.73,0,9,1,0.0,False,0,0,2
bukinoshita/holiday,31,31,31,0.2,5,0.4,1,2,-53.73,1,30,5,0.8718,False,0,0,2
Creuna-Oslo/prop-types-csharp-webpack-plugin,32,32,32,0.0,8,1.0,0,1,-39.79,0,406,1,0.9117,False,0,0,47
SamVerschueren/bragg-sns,33,33,33,0.0,4,1.0,0,2,-36.3,1,15,2,0.6476,False,0,0,10
spanishdict/equivalency,34,34,34,0.3333333333333333,4,0.6666666666666666,2,4,-180.28,4,87,6,0.1007,False,0,0,10
promosis/vue-cookie-accept-decline,35,35,35,0.25,0,0.75,1,3,-126.76,42,64,4,0.9962,True,0,0,40
sahariko/zip,36,36,36,0.5,3,0.0,1,0,-96.35,0,44,2,0.6696,False,0,0,7
kothique/winston-nedb,37,37,37,0.0,0,1.0,0,4,-27.04,0,30,4,0.6072,False,0,0,5
firstandthird/video-fit-polyfill,38,38,38,0.5,2,0.5,2,2,43.56,0,8,4,0.4215,False,0,0,5
myENA/vue-client-table,39,39,39,0.25,5,0.75,1,3,-263.02,0,77,4,0.743,False,0,0,7
manzinello/italy,40,40,40,0.0,0,1.0,0,1,58.62,0,11,1,0.0,True,0,0,1
Trifera/create-react-app,41,41,41,0.03988183161004431,11,0.7651403249630724,27,518,-52.47,0,2194,677,0.9982,True,1,1,57
mahaplatform/maha-expenses,42,42,42,0.0,0,1.0,0,2,-197.89,0,290,2,0.0,False,0,0,1
hjiang/leancloud-tester,43,43,43,0.0,2,1.0,0,1,11.62,1,27,1,0.7003,False,0,0,7
pluritech/cep-promise,44,44,44,0.08333333333333333,5,0.8333333333333334,2,20,-284.99,0,218,24,0.8504,False,1,0,20
dmfay/express-brute-pg,45,45,45,0.5,0,0.5,1,1,-144.4,3,14,2,0.5562,False,0,0,5
Microsoft/contact-card,46,46,46,0.0,3,1.0,0,3,-41.89,0,15,3,0.9415,False,0,0,12
googledatastudio/ds-component,47,47,47,0.5,2,0.5,1,1,-17.39,6,93,2,0.765,False,1,0,11
